word_count,afinn_raw,afinn_norm,bing_pos,bing_neg,bing_net_raw,bing_net_norm,nrc_pos,nrc_neg,nrc_net_raw,nrc_net_norm,nrc_anger,nrc_fear,nrc_joy,nrc_sadness,nrc_trust,category,file,title,url
330,-17,-0.051515151515151514,2,26,-24,-0.07272727272727272,15,18,-3,-0.00909090909090909,0,10,3,6,9,health,health_01.txt,WHO says Hantavirus outbreak linked to ship is over,https://www.bbc.co.uk/news/articles/cd7wjy2e1d8o?at_medium=RSS&at_campaign=rss
1020,27,0.026470588235294117,26,12,14,0.013725490196078431,42,11,31,0.030392156862745098,3,10,19,9,30,health,health_02.txt,How to walk 30 minutes a day - your tips,https://www.bbc.co.uk/news/articles/c20y2lkgz13o?at_medium=RSS&at_campaign=rss
477,-20,-0.041928721174004195,11,20,-9,-0.018867924528301886,24,30,-6,-0.012578616352201259,6,18,1,21,22,health,health_03.txt,German row over plan for workers to need sick note on first day of illness,https://www.bbc.co.uk/news/articles/c4gyxnj38m1o?at_medium=RSS&at_campaign=rss
992,4,0.004032258064516129,38,47,-9,-0.009072580645161291,60,52,8,0.008064516129032258,32,50,17,40,33,health,health_04.txt,"Targeted prostate cancer treatment cuts risk of side effects, study suggests",https://www.bbc.com/news/articles/cwyq3lnndvxo
1393,-32,-0.02297200287150036,34,72,-38,-0.027279253409906678,55,83,-28,-0.020100502512562814,30,33,18,44,24,health,health_05.txt,Why heatwaves hit women harder,https://www.bbc.com/news/articles/c4gyp1knzzxo
687,17,0.024745269286754003,16,25,-9,-0.013100436681222707,35,21,14,0.020378457059679767,7,9,6,9,17,health,health_06.txt,Struggling with brain fog? Here's how to fix it,https://www.bbc.com/news/articles/c87ydw7xdxvo
1032,85,0.08236434108527131,39,28,11,0.01065891472868217,57,37,20,0.01937984496124031,22,21,15,20,27,health,health_07.txt,How weight lifting can help you stay healthier as you age,https://www.bbc.com/future/article/20260612-how-to-start-strength-training-to-stay-healthier-as-you-age
1284,62,0.048286604361370715,44,20,24,0.018691588785046728,125,23,102,0.0794392523364486,9,13,57,13,60,health,health_08.txt,The habits that help children to eat more vegetables over their lifetime,https://www.bbc.com/future/article/20260629-six-ways-to-get-children-to-eat-vegetables
991,35,0.035317860746720484,36,20,16,0.016145307769929364,55,40,15,0.015136226034308779,25,18,14,8,26,health,health_09.txt,Why do mosquitoes bite some people more than others?,https://www.bbc.com/future/article/20260708-why-do-mosquitoes-bite-some-people-more-than-others
1845,123,0.06666666666666667,130,41,89,0.048238482384823846,133,46,87,0.04715447154471545,20,24,46,33,59,health,health_10.txt,What watching the sunset really does for your health,https://www.bbc.com/future/article/20260625-watching-the-sunset-the-free-daily-activity-that-gives-us-a-health-fix
